id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	adriano dias de carvalho	-0.7054	0.408	6	2	8	4	0	0	2017.25	0	0
11	airton cardoso cançado	-0.1406	-0.3275	13	60	235	144	173	146.4273	2017.1389	1.2014	1.0169
12	alain hernández santoyo	0.909	-0.0362	2	5	9	5	6	5.0909	2017.2	1.2	1.0182
14	aldeci dos santos dutra	-0.826	0.6635	6	3	5	2	0	0	2017	0	0
17	alex pizzio	-0.1918	0.1414	4	30	63	69	42	81.0526	2017.1739	0.6087	1.1747
23	aline marinho bailão iglesias	-0.2962	0.1428	4	1	2	2	0	0	2021.5	0	0
26	almerinda maria skeff cunha	-0.8001	0.1272	3	2	3	2	1	0.9643	2017	0.5	0.4821
28	amilton paulino silva	0.0573	0.2545	5	2	3	2	0	0	2013	0	0
30	ana cláudia a. gonçalves	-0.451	-0.0651	13	2	3	2	0	0	2013.5	0	0
32	ana lúcia medeiros	0.6582	-0.2105	11	5	7	5	11	8.9938	2016	2.2	1.7988
34	ana magnólia mendes	-1.1122	0.0001	14	6	16	6	8	13.3127	2015	1.3333	2.2188
43	andré pugliese da silva	0.4188	-0.7269	7	6	10	3	0	0	2021.6667	0	0
44	andréia de carvalho silva	0.8484	-0.1111	2	5	11	4	6	5.0909	2018.25	1.5	1.2727
47	anne caroline moura guimarães cançado	-0.4182	0.0525	13	3	3	2	1	0.2059	2015	0.5	0.1029
49	ariádne scalfoni rigo	-0.2891	-0.3776	10	11	21	9	10	10.5672	2015	1.1111	1.1741
50	ariádne sclafoni rigo	-0.1709	-0.5522	10	3	6	2	0	0	2014	0	0
52	beatriz batista costa	1.004	-0.1608	2	2	3	2	0	0	2021	0	0
53	bruna de oliveira	-0.2944	-0.6231	13	1	2	2	0	0	2021.5	0	0
56	bárbara romero braga	1.1302	0.5891	1	6	10	2	0	0	2019	0	0
62	carlos alexandre cunha	-0.8702	0.6465	6	3	5	3	0	0	2017	0	0
63	celio antonio alcantara silva	-0.5204	-0.6511	19	2	4	2	0	0	2016	0	0
64	clarete de itoz	1.0969	-0.056	2	2	4	2	0	0	2020	0	0
65	claudia luz	-0.8712	0.5766	6	1	5	5	0	0	2019	0	0
67	cleiton silva ferreira milagres	-0.1732	-0.1376	17	6	14	6	0	0	2016.1667	0	0
69	cláudia de negreiros magnus	-1.2136	0.0021	14	6	12	2	1	1.4737	2014	0.5	0.7368
74	daniel da silva félix	0.2485	-0.5886	7	4	6	3	0	0	2021.6667	0	0
75	daniel teotônio do nascimento	0.0193	1.2063	8	3	6	2	0	0	2019.5	0	0
77	david nadler prata	0.0254	-0.2181	12	4	6	2	1	5	2022	0.5	2.5
81	denilson mariano de brito	-0.3101	-0.2724	13	1	2	2	0	0	2021	0	0
84	diego neves de sousa	-0.1888	-0.0697	17	4	5	2	0	0	2016.5	0	0
89	doriane braga nunes bilac	-0.8379	0.6048	6	5	13	23	0	0	2017.8261	0	0
92	débora oliveira de souza	1.0532	-0.1698	2	4	9	4	0	1	2022.25	0	0.25
96	eder gama da silva	-0.0612	0.4473	15	4	8	2	0	0	2020	0	0
99	eduardo gusmão da costa	0.3037	-0.1337	20	2	6	3	0	0	2014.3333	0	0
104	elaine jesus alves	1.0844	0.4195	1	1	2	2	2	7.1429	2019.5	1	3.5714
105	elainy silva coelho	-0.1722	-0.2402	12	3	6	2	0	0	2017	0	0
110	ely josé de mattos	0.1474	-0.9255	9	2	7	4	7	3.5	2003.75	1.75	0.875
113	emílio peres facas	-0.9867	0.1446	3	3	7	5	2	3.1996	2017.6	0.4	0.6399
117	eziel gualberto de oliveira	-0.0029	1.3343	8	5	8	2	0	0	2017.5	0	0
118	fabiane santos barros	-0.3341	-0.7977	21	2	4	2	0	0	2021	0	0
121	fabíula gomes de. castro	0.1484	-0.225	11	3	3	2	0	0	2019	0	0
123	faissal figueiredo salha	0.4985	-0.7654	7	4	8	2	0	0	2022	0	0
127	fernanda dias bartolomeu abadio finco	0.0633	-0.8128	9	1	6	6	23	22.6417	2013.3333	3.8333	3.7736
128	fernanda guimarães	-0.3089	0.3019	4	2	4	2	0	0	2022.5	0	0
129	fernanda rodrigues da silva	-0.4923	-0.2437	16	5	15	7	6	13.4118	2017.1429	0.8571	1.916
130	fernando da cruz souza	1.0044	0.3585	1	2	4	2	0	0	2020	0	0
