id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
8	adriana nascimento santos cartaxo	-0.8971	0.0794	2	6	14	3	16	10.8571	2021	5.3333	3.619
10	afonso paiva	0.4833	0.6822	5	5	10	2	2	0.8235	2011.5	1	0.4118
11	airton cardoso cançado	-0.635	0.0492	3	3	5	2	1	0.6786	2022	0.5	0.3393
15	aldo cunha medeiros	-0.1139	-0.6059	9	3	6	2	2	0.7143	2015	1	0.3571
17	alessandro bruno	-0.2895	0.1259	3	1	2	2	0	1	2023.5	0	0.5
21	alexandre césar rodrigues da silva	-0.1007	0.836	7	2	5	4	0	0	2013.75	0	0
23	alexandre rossini	1.5878	-0.6309	11	6	11	3	0	0	2013.6667	0	0
35	andreas kneip	-0.8036	-0.763	12	6	16	12	54	60.2675	2018.3333	4.5	5.0223
40	andré peres barbosa de castro	-0.5418	0.1231	3	5	5	2	9	7.1071	2022.5	4.5	3.5536
42	andréia ibiapina	-0.2116	0.5863	6	7	13	4	0	0	2019.5	0	0
43	anna paula de sousa parente rodrigues	0.0388	0.8094	7	1	1	2	3	3.9167	2017	1.5	1.9583
47	antônio augusto souza mello	-0.7464	-0.8105	12	2	5	4	7	2.7417	2016.75	1.75	0.6854
50	antônio josé da silva neto	-0.1808	0.1197	9	4	5	2	20	10.8333	2018	10	5.4167
60	ary henrique morais de oliveira	0.2826	0.8913	5	11	25	16	9	4.6616	2018.5	0.5625	0.2914
62	associação brasileira de educação a distância	-0.0924	-0.1362	1	11	18	3	0	0	2018.3333	0	0
63	aynaran oliveira de aguiar	-0.1063	0.5626	6	4	6	2	0	0	2019	0	0
65	bernardo malta	1.7187	-0.6282	11	5	10	2	0	0	2009	0	0
68	bruna araújo de moura	-0.37	0.5501	6	4	7	2	2	2.6111	2019	1	1.3056
70	bruna laisy castelo everton	-0.5371	-0.1344	3	4	6	2	0	0	2020	0	0
73	bárbara romero braga	0.0238	-0.0372	1	8	12	2	0	0	2019	0	0
84	cecília maria de carvalho xavier holanda	-0.1296	-0.5416	9	3	6	2	2	0.7143	2015	1	0.3571
89	claudson f. bornstein	1.1821	-0.6193	10	4	20	6	0	0	2019.8333	0	0
92	cláudio m. soares	-0.1321	0.6206	6	4	6	2	0	0	2019	0	0
105	daniel de oliveira	0.3452	0.9824	5	2	4	2	3	1.1	2014.5	1.5	0.55
107	daniel j. b. s. sampaio	-0.0432	0.8667	7	2	4	3	3	1.2353	2012.6667	1	0.4118
109	daniela mascarenhas de queiroz trevisan	-0.8166	-0.1588	2	12	30	8	16	26.3214	2020.625	2	3.2902
117	david nadler prata	-0.6045	-0.2049	2	43	180	76	454	130.3366	2017.7368	5.9737	1.715
118	deisi scunderlick eloy de farias	-0.8123	-0.8468	12	3	6	3	31	48.2917	2018.3333	10.3333	16.0972
119	denis da silva passos	-0.2749	-0.381	9	3	4	2	4	1.4667	2019.5	2	0.7333
120	denise gomes alves	-0.3415	0.4013	6	2	3	2	1	0.5556	2018	0.5	0.2778
122	denise sampaio de araújo	-0.6511	-0.3977	8	3	6	2	2	2.6111	2019.5	1	1.3056
126	diego paixão pinheiro	-0.2295	-0.4251	9	3	4	2	0	0	2021.5	0	0
132	e. m. de oliveira	-0.2586	0.6474	6	3	6	2	0	0	2019	0	0
133	edeilson milhomem da silva	0.0098	0.5826	7	5	11	4	5	2.7083	2019	1.25	0.6771
141	elaine caldeira	-0.3985	0.1855	3	1	2	2	0	0	2018.5	0	0
147	elisângela césar dos santos anjos	-0.9788	-0.1592	2	4	8	2	0	0	2021.5	0	0
149	emerson fernandes marçal	0.6337	0.1073	4	4	8	2	0	0	2021.5	0	0
151	erick gomez-nieto	0.5226	0.6266	5	5	10	2	2	0.8235	2011.5	1	0.4118
153	erik alex papa quiroz	0.7917	0.2025	4	3	8	4	28	17.5873	2015.75	7	4.3968
158	eva silva daltio	-0.3847	-0.2921	1	5	6	2	0	0	2017.5	0	0
159	evandro de barros costa	-0.7804	-0.4512	8	3	8	4	14	8.4667	2012	3.5	2.1167
160	f. b. chagas	-0.5594	-0.5759	8	5	7	2	1	0.3667	2015	0.5	0.1833
162	fabiano romanholo ferreira	-1.0117	-0.0921	2	4	8	2	0	0	2021.5	0	0
166	fabrício oliveira silva	0.7429	0.0088	4	5	10	2	0	0	2021.5	0	0
168	felipe m. g. frança	0.1865	0.4813	7	2	6	3	3	11.3571	2014	1	3.7857
175	francisco a. rodrigues	0.3688	0.6884	5	3	12	5	34	12.9983	2015.2	6.8	2.5997
177	francisco iran cartaxo barbosa	-0.9514	0.014	2	6	14	3	16	10.8571	2021	5.3333	3.619
180	fábio de castro	-0.0115	-0.1025	1	10	23	4	0	0	2019	0	0
182	félix mora‐camino	0.1276	0.4749	7	2	6	3	3	11.3571	2014	1	3.7857
189	gentil veloso barbosa	-0.3788	-0.0598	3	39	86	31	18	14.8397	2018.9032	0.5806	0.4787
190	geny batista ferreira	-0.1681	-0.0953	1	15	33	6	0	0	2018.6667	0	0
191	george frança	-0.4881	-0.2502	1	7	11	5	20	3.2294	2018	4	0.6459
192	george frança dos santos	-0.3155	-0.2191	1	7	7	2	0	0	2017.5	0	0
193	george lauro ribeiro brito	-0.254	0.008	3	3	4	2	0	0	2020.5	0	0
194	george lauro ribeiro de brito	-0.3781	0.1162	3	10	16	19	10	10.4722	2017.1579	0.5263	0.5512
196	george nathan souza brito	-0.711	-0.6179	8	4	5	2	3	3.5913	2016	1.5	1.7956
197	george sand frança	-0.4418	-0.3439	1	5	6	2	0	0	2017	0	0
198	geovane rossone reis	-0.726	-0.1618	2	9	39	6	18	23.5536	2021.1667	3	3.9256
204	glaubos clímaco	-0.5613	-0.512	8	5	7	2	1	0.3667	2015	0.5	0.1833
206	glenda michele botelho	0.2866	0.7305	5	18	51	26	45	21.3001	2017.1538	1.7308	0.8192
208	glêndara aparecida de souza martins	-0.1942	0.5053	6	16	40	15	4	5.2222	2018.9333	0.2667	0.3481
211	h. x. araujo	-0.6087	-0.0332	2	11	43	8	11	9.3452	2020.25	1.375	1.1682
215	hellena christina fernandes apolinário	0.7326	0.1149	4	11	29	11	28	17.5873	2019.3636	2.5455	1.5988
