id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	abraham damian giraldo zuñiga	-0.2731	-0.4557	24	1	2	2	0	2	2008	0	1
9	adriana arruda barbosa rezende	-0.3093	-0.0503	4	7	14	2	0	2	2023	0	1
11	adriano firmino v. de araújo	-0.6382	0.5286	14	3	7	3	2	3.4415	2015.6667	0.6667	1.1472
12	adriano nascimento da paixão	-0.2473	-0.0857	4	10	25	8	0	2	2019.75	0	0.25
15	airton cardoso cançado	-0.3694	0.0655	7	2	3	3	3	17.8235	2020.6667	1	5.9412
18	alberiza veras de albuquerque	0.8544	0.0888	5	4	8	2	2	1.4054	2013	1	0.7027
22	alessandra camargo godoi	-0.7031	0.0988	12	3	9	3	0	0	2021	0	0
23	alessandra polastrini	-0.5564	-0.2571	16	4	6	3	0	1	2021	0	0.3333
24	alex pizzio	-0.5249	0.0539	7	4	6	5	0	1	2021	0	0.2
30	alivínio de almeida	-0.7424	0.7056	9	9	17	15	5	23.8304	2000.8667	0.3333	1.5887
32	altamira pereira da silva reichert	0.7896	-0.2136	10	4	8	2	3	29.3333	2015	1.5	14.6667
38	ana lúcia medeiros	0.7069	0.0925	8	57	169	84	93	127.3938	2016.3929	1.1071	1.5166
42	andré dornelles pares	1.3019	-0.1833	2	11	22	2	7	7	2017	3.5	3.5
52	antônia francisca da silva saraiva	-0.5878	-0.2154	16	8	13	5	4	11.4079	2021	0.8	2.2816
55	augusto de campos	-0.3405	-0.0184	4	7	14	2	0	2	2023	0	1
56	aurilene josefa cartaxo gomes de arruda	0.698	0.4644	1	7	14	3	0	0	2015.3333	0	0
58	benvindo filho pinto queiroz	-0.4054	-0.1719	11	4	10	4	1	2.0526	2020	0.25	0.5132
61	bárbara françoise cardoso	-0.4696	-0.2332	7	3	3	2	3	2.1081	2014.5	1.5	1.0541
66	carla lígia gomes pereira	0.6848	0.3399	1	3	6	2	0	0	2013	0	0
68	carlos antonio ferreira dias	-0.1377	-0.5297	19	2	4	2	0	2	2006	0	1
70	carlos julio moreno	-0.3445	-0.6828	13	4	13	5	0	3	2022.2	0	0.6
72	caroline casali	1.2039	-0.2841	2	11	22	2	7	7	2017	3.5	3.5
79	claudomiro moura gomes andre	0.6302	0.1673	8	1	2	2	1	1.8235	2019.5	0.5	0.9118
81	cleidjane gomes faustino	0.9663	0.1181	5	4	8	2	0	0	2014	0	0
84	cristian orlando avila quinones	-0.2993	-0.6418	13	3	4	2	0	1	2022	0	0.5
85	cristian orlando avila quiñones	-0.3789	-0.6387	13	4	20	11	0	3	2020.9091	0	0.2727
92	daiany alves araújo moreira	-0.4268	0.0538	7	1	2	2	0	2	2023	0	1
94	diego neves de sousa	-1.0408	0.0651	6	4	15	9	2	20	2021.2222	0.2222	2.2222
110	eloísa joseane da cunha klein	1.2524	-0.1588	2	11	22	2	7	7	2017	3.5	3.5
112	elva nelly rojas araque	-0.3962	-0.6917	13	3	11	4	0	2	2021.5	0	0.5
113	elvis ribeiro lopes	0.2062	-0.1539	21	3	6	2	1	1.8235	2018	0.5	0.9118
117	ericka silva holmes	0.7529	0.523	1	6	12	2	0	0	2016.5	0	0
119	erisvaldo oliveira alves	-0.394	-0.2164	11	4	15	9	2	5.3026	2019.8889	0.2222	0.5892
129	fernando jorge fonseca neves	-0.3565	-0.4816	3	1	2	2	0	0	2012.5	0	0
131	fernando silva lima	-0.6034	-0.03	12	3	6	4	2	7.5	2021.5	0.5	1.875
138	francisco viana cruz	-0.6881	0.5158	14	5	10	4	3	4.3889	2013.25	0.75	1.0972
145	gaspar carmanhan da silveira neto	0.1979	-0.1197	21	3	6	2	1	1.8235	2018	0.5	0.9118
149	geraldo sant’ana de camargo barros	-0.7829	0.7642	9	6	9	3	0	3	1989.6667	0	1
150	gilberto soares da silva	-0.147	0.0536	7	2	2	2	2	3.6471	2018	1	1.8235
152	gisele barbosa de paiva	-0.7176	0.1338	12	3	9	4	0	0	2020.5	0	0
154	gleiva giuvannucci alves	-0.8694	0.1311	17	3	5	2	0	0	2020	0	0
164	helga midori iwamoto	0.579	-0.0825	8	2	3	2	10	7.027	2013	5	3.5135
184	jancelice dos santos santana	0.8213	-0.1926	10	4	8	2	3	29.3333	2015	1.5	14.6667
185	jancelice santos santana	0.8507	-0.077	10	4	6	2	0	0	2014.5	0	0
186	jandir ferrera de lima	-0.4283	-0.4221	3	2	5	3	3	10.7778	2016.6667	1	3.5926
194	joab césar souza campos	0.9736	0.0773	5	4	8	2	0	0	2014	0	0
205	josé luiz braga	1.3217	-0.2296	2	11	22	2	7	7	2017	3.5	3.5
207	josé pedro gomes galvão	-1.0173	-0.0549	6	5	11	4	0	0	2020.5	0	0
212	joão aparecido bazzoli	-0.4785	-0.1073	11	8	11	3	0	2	2022.6667	0	0.6667
216	joão rafael rocha dallabrida	-0.6508	0.4929	14	4	7	3	1	1.3889	2013.6667	0.3333	0.463
218	juliana aguiar de melo	-0.7493	0.0931	12	5	12	7	3	4	2019	0.4286	0.5714
