id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	adilson cunha silva	-0.2441	0.2362	2	1	2	2	0	2	2023	0	1
8	alexs gonçalves coelho	-0.9827	-0.01	7	1	2	2	0	0	2019	0	0
13	aloísio alencar bolwerk	-0.2147	0.3055	2	13	22	34	1	21.6667	2019.4412	0.0294	0.6373
24	andré ricardo fonseca carvalho	-0.2382	-0.4441	1	1	2	2	0	0	2020.5	0	0
25	angelo stacciarini seraphin	0.9937	0.0639	4	1	2	2	0	0	2018	0	0
35	bruna aline freire dos santos	-0.2636	0.3728	2	1	3	3	1	10.6667	2020	0.3333	3.5556
36	bruno barreto cesarino	-0.7998	0.3029	9	4	11	3	0	3	2013.6667	0	1
42	carlos alberto moreira de araújo	-0.6328	-0.166	7	2	3	3	0	1	2019.6667	0	0.3333
43	carlos antônio álvares soares ribeiro	1.1952	0.0585	4	2	3	2	2	4	2010	1	2
45	chesy alexandre coelho	1.03	-0.0579	4	2	3	2	0	1	2020.5	0	0.5
48	cristiane roque de almeida	0.4521	-0.0607	6	4	6	14	3	28.1333	2018.2857	0.2143	2.0095
53	deise justino matos	0.4844	-0.0275	6	1	2	2	0	0	2017	0	0
63	emerson adriano guarda	0.3756	-0.0478	6	2	3	2	0	1	2022	0	0.5
67	fabrício silva brito	-0.388	-0.5172	1	2	4	2	0	0	2021	0	0
68	felipe alves bittencourt	1.0642	0.1299	4	1	2	2	0	0	2020	0	0
79	francisco mendes chaves neto	-0.0046	-0.1947	3	1	2	2	0	0	2019	0	0
89	graciela maria da costa barros	-0.1165	-0.0784	3	3	5	2	0	0	2017	0	0
92	graziele cristina lopes ribeiro	-0.3049	0.3033	2	1	2	2	0	0	2017	0	0
99	gustavo paschoal teixeira de castro oliveira	-0.0153	-0.1069	3	13	22	22	0	6	2018.0455	0	0.2727
101	hagnes pedreira	-0.3269	-0.7087	12	1	2	2	0	0	2020	0	0
106	hélvia túlia sandes pedreira	-0.3256	-0.6747	12	2	3	4	0	0	2020	0	0
109	isa omena machado freitas	-0.749	0.215	9	10	29	10	0	7	2014.4	0	0.7
114	j. c. do c. panetto	1.2591	-0.2196	8	5	10	2	0	2	2023	0	1
115	jadir alves de oliveira	0.0435	-0.0272	3	4	7	3	0	1	2020.3333	0	0.3333
116	jairo do socorro dos santos costa	-0.8845	0.2031	9	2	3	2	0	1	2014	0	0.5
126	josé eustáquio de melo júnior	-0.1181	0.1121	2	2	2	2	0	0	2020	0	0
128	josé roberto ferreira ribeiro	-0.2098	-0.2724	1	2	3	2	0	0	2019.5	0	0
129	josé wilson rodrigues de melo	0.1335	-0.0092	3	6	6	2	0	0	2018	0	0
132	joão marcelo dos santos silva	-0.7727	0.3591	9	4	11	3	0	3	2013.6667	0	1
133	joão paulo macedo magalhães	-0.1717	0.4518	2	2	4	2	0	0	2017	0	0
137	juan rodrigo carneiro aguirre	-0.3333	-0.4534	1	2	4	3	0	0	2021	0	0
143	kamila câmera	-0.4101	-0.3802	1	1	2	2	0	0	2020	0	0
146	keila barros moreira	-1.191	-0.0376	11	3	6	2	0	2	2022	0	1
