id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
7	a.m. manteigas	0.7477	-0.8556	4	5	10	2	14	1.5556	2001	7	0.7778
8	adailton pereira dos santos	-1.2941	0.7615	6	13	26	2	13	15.6	2019.5	6.5	7.8
9	adenícia custódia silva e souza	-1.2578	0.6721	6	13	27	3	13	15.6	2018.6667	4.3333	5.2
10	adriana arruda barbosa	-1.1836	0.4843	6	4	6	2	3	0.625	2010	1.5	0.3125
11	adriana arruda barbosa rezende	-1.1799	0.5439	6	6	15	5	1	0.36	2009.6	0.2	0.072
13	adriana inocenti miasso	-0.7662	-0.7381	24	5	24	7	95	16.355	2009.5714	13.5714	2.3364
14	adriana lima pereira	-0.6579	0.1196	8	4	8	2	0	0	2011	0	0
17	adriane feitosa valadares	0.1841	0.3169	13	4	8	2	0	0	2020	0	0
20	adriano marçal pimenta	0.7183	0.6072	16	3	8	4	2	23.5667	2022	0.5	5.8917
21	adriano max moreira reis	-0.793	-0.7627	24	4	12	3	48	10	2011	16	3.3333
25	alaiana marinho franco	0.0147	-0.0464	19	5	6	2	0	0	2022.5	0	0
30	aldair darlan santos‐de‐araújo	-0.1063	0.5486	11	4	8	2	0	0	2023	0	0
31	aldair martins barasuol	-0.2264	0.2666	11	15	37	8	1	4.0667	2021.625	0.125	0.5083
32	alderise pereira quixabeira	0.1496	0.545	13	6	12	2	0	0	2021	0	0
40	aline cammarano ribeiro	-0.3455	-0.4694	14	6	8	2	1	1.2	2020	0.5	0.6
42	aline cruz esmeraldo áfio	0.0362	-0.8759	10	5	16	4	5	2.4576	2013	1.25	0.6144
45	aline rodrigues feitoza	-0.0783	-1.0187	10	4	8	2	3	1	2012	1.5	0.5
47	alisson martins-oliveira	1.1661	-0.2257	5	9	18	2	22	4.5833	2011	11	2.2917
49	allana lima moreira rodrigues	-0.3014	0.3304	11	7	27	6	1	4.0667	2022	0.1667	0.6778
50	allison barros santana	-0.4213	-0.2969	14	9	14	4	2	0.7391	2017.5	0.5	0.1848
52	alyne leite gomes nogueira	-0.5919	-0.6573	7	7	29	7	50	19.2071	2014.2857	7.1429	2.7439
53	alyne nunes mota	-0.3681	0.6021	2	12	22	5	5	6.2981	2020.2	1	1.2596
63	ana caroline costa da silva	0.011	-0.453	3	14	16	3	0	0	2022.3333	0	0
64	ana caroline machado costa	-0.1061	-0.4451	3	9	10	2	0	0	2020.5	0	0
65	ana cláudia alcântara garzin	0.7477	0.2872	1	5	10	2	5	2.2656	2015	2.5	1.1328
66	ana cristina de oliveira e silva	-0.0799	-0.6161	3	4	6	2	0	0	2022.5	0	0
69	ana elisa bauer de camargo silva	-0.7405	-0.7634	24	5	24	7	95	16.355	2009.5714	13.5714	2.3364
70	ana gabriela ferreira brito	-0.0217	0.1314	12	5	10	2	0	0	2021	0	0
73	ana karina marques salge	-0.709	-0.5388	7	6	10	2	11	1.7083	2010.5	5.5	0.8542
75	ana kelve de castro damasceno	-0.1128	-0.8655	10	3	9	4	14	4.5417	2011.75	3.5	1.1354
76	ana kelve de castro damaseno	-0.0862	-0.7969	10	4	8	2	0	0	2012	0	0
