id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	a. menchaca	2.2968	-0.0161	13	12	24	2	1	0.7857	2022	0.5	0.3929
11	a.a. agostinho	-0.4234	0.7862	3	12	16	4	122	4.9857	2013.5	30.5	1.2464
23	adriana malvásio	-0.0063	-0.0732	4	7	10	5	1	0.4615	2020.8	0.2	0.0923
25	adriana valéria miranda delarolli	-0.0235	-0.6456	14	3	6	2	0	1	2023.5	0	0.5
27	adriano guimarães carvalho	0.3212	0.2149	8	2	4	3	3	0.358	2019.3333	1	0.1193
30	ageu da silva monteiro freire	-0.3482	-0.0904	11	6	8	2	0	0	2023	0	0
33	ailton josé crispim filho	-0.2046	-0.2673	17	3	8	3	5	1.8518	2021	1.6667	0.6173
39	alberto akama	0.0277	0.2286	18	5	5	3	14	2.0873	2017.3333	4.6667	0.6958
40	alberto jorge laranjeiro	0.2038	-0.6201	10	2	3	2	73	2.3636	1995.5	36.5	1.1818
41	alberto josé prioli	-0.8285	0.6028	16	15	54	9	106	10.9976	2014.2222	11.7778	1.222
42	albério batista de oliveira	-0.6357	-0.2613	11	5	10	2	0	0	2020	0	0
44	aldo shimoya	-0.6289	-0.8087	2	3	6	2	0	2	1999	0	1
46	alessandra valéria de oliveira	-0.7634	0.6515	16	14	43	8	58	5.2204	2016	7.25	0.6526
57	aline lopes dos santos	0.0481	-0.2841	9	5	5	2	2	0.2867	2017.5	1	0.1434
60	almir manoel cunico	-0.3725	0.7806	3	14	17	2	7	2.8345	2020	3.5	1.4173
61	amadeu m.v.m. soares	-0.8032	0.3167	20	5	18	5	87	12.1613	2016.2	17.4	2.4323
63	amanda cordeiro da silva	-0.0433	-0.2864	4	6	14	3	3	0.2806	2018	1	0.0935
66	amintas nazareth rossete	0.2267	0.316	8	9	13	2	40	6.3604	2019.5	20	3.1802
69	ana beatriz nunes ribeiro	-0.0608	-0.1187	4	2	3	2	0	0	2023	0	0
72	ana carolina lima	-0.833	0.3075	20	5	15	4	71	9.6171	2015.5	17.75	2.4043
74	ana cristina petry	-0.6373	0.6423	16	21	55	12	198	18.2833	2017.9167	16.5	1.5236
75	ana letícia rodrigues costa	-0.2416	-0.3274	17	11	25	9	15	3.1464	2019	1.6667	0.3496
78	ana maria cirino ruocco	-0.0724	0.7162	1	14	18	2	92	19.0301	2020	46	9.5151
79	ana paula augusta de oliveira	-0.2021	-0.2901	17	3	6	2	2	0.4672	2021.5	1	0.2336
81	anderson brito soares	0.2624	-0.0346	5	16	30	5	133	6.581	2012.8	26.6	1.3162
84	anderson saravia	2.2243	-0.0136	13	14	41	5	13	5.1141	2020.4	2.6	1.0228
86	andressa cavalcante meireles	-0.3259	-0.099	11	6	8	2	0	0	2023	0	0
91	andré andrian padial	-0.231	0.6757	1	29	62	5	326	32.2696	2017.2	65.2	6.4539
94	andré jasper	-0.0243	-0.4278	9	4	9	3	27	4.2933	2019	9	1.4311
96	andré lincoln barroso magalhães	-0.2437	0.7298	1	30	110	14	584	63.1581	2018.0714	41.7143	4.5113
97	andré luis santos resende	-0.075	-0.7912	14	6	18	5	19	1.5984	2010.4	3.8	0.3197
98	andré luiz henríques esguícero	-0.0113	0.4558	18	6	8	3	53	6.5274	2017.6667	17.6667	2.1758
101	andré s. fernandes	1.9339	0.1706	12	4	5	2	1	0.4615	2021.5	0.5	0.2308
105	andréa l. neuberger	-0.2813	0.1063	3	6	7	2	67	4.8299	2010	33.5	2.415
112	annyelle figueredo teles	-0.0709	-0.3096	4	7	22	5	14	1.4383	2016.4	2.8	0.2877
118	antônio daniel fernandes coelho	-0.6506	-0.8105	2	3	6	2	0	2	1999	0	1
120	antônio thadeu medeiros de barros	2.1704	-0.0052	13	6	17	3	12	4.3284	2019.3333	4	1.4428
122	antônio ítalo dos santos nunes	0.1106	-0.3076	9	4	5	2	1	0.2336	2021	0.5	0.1168
124	aparecido osdimir bertolin	0.0405	-0.1111	4	9	12	11	93	7.7564	2015.6364	8.4545	0.7051
126	arion t. aranda	-0.113	0.2042	7	4	10	4	31	1.3186	2005.5	7.75	0.3297
132	athayde tonhasca	0.2573	-0.5846	10	2	12	9	164	15.6708	2001.6667	18.2222	1.7412
133	augusto loureiro henriques	2.1641	0.1947	12	10	46	29	101	18.5616	2015.6552	3.4828	0.6401
134	aurélio vaz de melo	-0.794	-0.7587	2	13	37	7	84	4.3506	2008.1429	12	0.6215
138	baldur rocha giovannini	-0.186	-0.3967	9	4	8	3	0	0	2019	0	0
143	bernhard ryffel	0.3196	-0.0077	5	8	15	2	11	1.0288	2017.5	5.5	0.5144
146	brian v. brown	0.2796	-0.7187	10	5	14	4	17	1.2562	2012.5	4.25	0.314
148	bruna s. andrade	2.0849	0.2644	12	3	4	2	1	4.3333	2023	0.5	2.1667
149	bruna tavares	-0.0409	-0.177	9	4	4	2	0	0	2023	0	0
150	bruno aurélio campos aguiar	-0.4467	-0.1946	11	4	8	2	4	17.3333	2023	2	8.6667
153	brígida souza	-0.1127	-0.7704	14	4	8	2	2	0.1062	2014	1	0.0531
155	bárbara helena ramos	-0.3335	-0.392	17	4	10	3	3	0.4592	2015	1	0.1531
158	c. godoy	-0.7226	-0.7554	2	6	11	2	62	2.7555	2002.5	31	1.3777
163	carina scolari gosch	-0.6024	-0.2429	11	5	10	2	0	0	2020	0	0
164	carine c. chamon	-0.0864	0.2189	7	14	25	21	66	8.7707	2014.0476	3.1429	0.4177
168	carla lima	0.3063	-0.0942	5	17	33	6	150	8.3739	2013.6667	25	1.3956
171	carla simone pavanelli	-0.334	0.3925	7	43	74	6	83	11.1987	2017.8333	13.8333	1.8664
172	carla simone seibert	0.1028	-0.2111	5	60	171	64	237	22.1445	2016.5469	3.7031	0.346
175	carlos a. rosa	0.111	-0.0733	4	5	8	2	27	1.22	2007.5	13.5	0.61
177	carlos alberto santos de lucena	-0.277	0.2771	7	13	18	5	76	3.331	2007	15.2	0.6662
178	carlos andré nogueira	0.2893	-0.6621	10	4	7	3	29	1.5426	2010.3333	9.6667	0.5142
182	carlos marcos alves dos santos	-0.0413	-0.7873	14	4	8	2	0	0	2007	0	0
184	carlos santos	0.1166	0.4356	18	6	12	2	0	0	2010	0	0
185	carlos sérgio agostinho	-0.6215	0.3899	3	57	167	44	859	62.441	2011.5909	19.5227	1.4191
188	carolina rodrigues da costa doria	0.2359	0.277	8	12	21	4	65	10.0994	2019.25	16.25	2.5248
190	carolina souza jarochinski e silva	-0.1478	-0.6545	14	3	6	2	6	3.0934	2021	3	1.5467
196	cecilia miraballes	2.183	-0.0366	13	6	17	3	12	4.3284	2019.3333	4	1.4428
198	celso kenji nishiyama	0.0713	0.4193	18	6	12	2	0	0	2010	0	0
199	charles martins de oliveira	-0.8232	-0.5346	21	4	8	2	1	0.0343	2002.5	0.5	0.0172
200	christian r. gonzález	2.128	0.1829	12	2	6	3	4	1.049	2019.3333	1.3333	0.3497
203	christopher martius	0.2537	-0.5015	10	3	6	2	32	1.4898	2010	16	0.7449
211	cleide mecenas araújo	0.3738	0.1296	8	5	10	2	0	0	2013	0	0
214	cleto kaveski peres	0.2969	-0.312	5	5	10	2	8	0.7022	2009	4	0.3511
219	clélia akiko hiruma-lima	0.1354	-0.151	4	13	18	4	181	8.6978	2007.25	45.25	2.1744
221	cosme damião cruz	-0.6378	-0.714	2	6	16	5	36	2.5914	2009.4	7.2	0.5183
225	cristiano r. moreira	-0.2006	0.3617	7	17	23	2	63	2.6618	2011	31.5	1.3309
226	cássio augusto ussi monti	-0.1284	-0.6022	14	2	6	3	6	3.7418	2021.3333	2	1.2473
232	dallyla tais assunção milhomem ferreira	0.2363	0.0782	8	6	11	4	13	1.152	2015.75	3.25	0.288
234	daniel c. pimenta	0.2884	-0.1716	5	9	9	2	58	2.7926	2007	29	1.3963
242	daniel rückamp	0.2354	-0.5135	10	3	6	2	32	1.4898	2010	16	0.7449
243	daniel simberloff	-0.1979	0.6602	1	20	36	5	195	18.8471	2017.6	39	3.7694
247	danielle pereira dos santos	-0.431	-0.5875	2	5	7	2	0	0	2020	0	0
248	danielle sequeira garcez	-0.47	0.3801	15	18	35	2	0	0	2021	0	0
254	darcy alves do bomfim	0.3634	-0.6402	10	2	4	2	36	0.7952	2007	18	0.3976
255	davi borges das chagas	-0.3257	-0.3525	17	8	15	7	15	1.8597	2014.8571	2.1429	0.2657
257	david augusto reynalte‐tataje	-0.4416	1.067	19	6	21	5	16	8.1196	2020.6	3.2	1.6239
258	david j. hoeinghaus	-0.3563	0.4632	1	17	22	3	263	13.5785	2015.3333	87.6667	4.5262
259	david kaplan	0.2595	0.3405	8	10	20	5	67	10.5666	2019	13.4	2.1133
261	dayani bailly	-0.6162	0.4256	3	9	12	3	124	3.5711	2014	41.3333	1.1904
262	dayanne castro trombeta	0.3986	0.1349	8	5	10	2	0	0	2013	0	0
265	deivid sousa silva	0.0787	0.1619	25	2	4	2	0	0	2011	0	0
273	denise v. tambourgi	0.3095	-0.2882	5	5	10	2	8	0.7022	2009	4	0.3511
275	derly josé henriques da silva	-0.5752	-0.7184	2	5	7	2	2	0.2071	2014.5	1	0.1036
277	derval gomes ribeiro neto	0.1237	-0.2406	9	10	16	5	0	0	2020.8	0	0
280	deusimar augusto de almeida	-0.3466	0.1184	27	5	8	2	204	4.506	2007	102	2.253
286	diego azevedo zoccal garcia	-0.3356	0.7833	3	14	21	3	13	4.2361	2020.3333	4.3333	1.412
290	diego silva gomes	0.2837	-0.7488	10	4	12	3	7	0.725	2012	2.3333	0.2417
291	dieter uhl	-0.0416	-0.4435	9	4	8	2	26	4.1343	2019	13	2.0671
292	dilermando p. lima-júnior	-0.3312	0.7126	1	33	107	14	606	62.1789	2017.1429	43.2857	4.4414
293	dilermando pereira lima	-0.2137	0.622	1	15	16	2	101	11.5226	2019.5	50.5	5.7613
295	diogo sayanda	-0.8465	0.3349	20	5	9	2	66	8.8518	2016	33	4.4259
296	diva denelle spadacci-morena	0.0708	-0.2564	9	5	6	2	1	0.0531	2018	0.5	0.0266
325	eduardo blodorn	2.2664	0.0487	13	13	30	3	4	1.4865	2021.6667	1.3333	0.4955
327	eduardo fernandes marques	-0.6392	-0.2378	11	5	10	2	0	0	2020	0	0
328	eduardo purgatto	-0.3357	-0.7367	6	6	12	3	28	4.5635	2014	9.3333	1.5212
332	elaine jesus alves	0.1626	0.0308	4	2	2	2	2	0.9231	2021	1	0.4615
333	elen de lima aguiar-menezes	-0.0785	-0.7636	14	6	18	5	19	1.5984	2010.4	3.8	0.3197
334	eliane marques dos santos	0.1466	0.0157	4	4	4	6	1	0.4615	2019	0.1667	0.0769
335	eliane regina archangelo	-0.582	-0.644	2	5	7	2	0	0	2010	0	0
336	eliania pereira pinheiro	-0.0297	-0.1395	4	4	4	3	2	0.2369	2014.6667	0.6667	0.079
337	elianora gomes de carvalho	0.2178	-0.1574	5	4	11	4	6	0.4182	2006.75	1.5	0.1046
339	elineide eugênio marques	0.1767	0.1071	8	78	220	84	888	53.7181	2014.9762	10.5714	0.6395
340	elisandra scapin	-0.11	-0.0752	22	3	10	4	5	2.8244	2021.25	1.25	0.7061
343	elizabeth de oliveira	-0.823	-0.5585	21	4	8	2	1	0.0343	2002.5	0.5	0.0172
344	ellen sílvia amaral figueiredo	0.2771	0.2613	8	6	8	2	1	0.159	2019.5	0.5	0.0795
348	elvira maría guerra-shinohara	0.2215	-0.2121	5	4	9	4	40	1.5639	2001	10	0.391
349	eláiny cristina alves martins	-0.5348	-0.6434	2	8	12	3	8	0.8286	2012	2.6667	0.2762
350	eláiny cristina alves martins oliveira	-0.4911	-0.6641	2	8	11	3	0	0	2020	0	0
351	elízia aparecida pinheiro	-0.3986	-0.5372	2	4	6	2	7	0.8354	2019	3.5	0.4177
352	emili garcía‐berthou	-0.3212	0.579	1	9	15	4	88	11.3446	2018.25	22	2.8361
358	eric d. dibble	-0.4879	0.1411	6	3	4	2	76	6.6708	2010	38	3.3354
365	etiene fabbrin pires oliveira	-0.0281	-0.3892	9	11	19	8	28	4.5269	2019	3.5	0.5659
367	eva barros miranda	0.2543	0.106	8	2	3	2	2	0.1871	2019	1	0.0935
371	evanilde benedito	-0.4623	0.3395	15	19	19	2	9	0.4067	2015.5	4.5	0.2033
373	eveline de almeida ferreira	-0.5205	0.2958	3	4	6	2	11	5.0769	2020	5.5	2.5385
380	expedito alves cardoso	-0.612	-0.6441	2	5	8	2	0	0	2012.5	0	0
381	fabio de jesus castro	0.1707	0.0383	4	1	1	2	3	1.7088	2021	1.5	0.8544
383	fabrício a. frehse	-0.3327	0.6746	1	16	24	2	96	6.042	2016	48	3.021
384	fabrício barreto teresa	0.3742	-0.4703	10	8	12	3	35	5.7702	2019.3333	11.6667	1.9234
386	favízia freitas de oliveira	-0.2367	-0.6293	2	4	10	3	1	0.7857	2022	0.3333	0.2619
388	felipe oliveira vilela	-0.7676	-0.8077	2	6	11	2	1	0.0341	2010	0.5	0.0171
390	felipe pontieri de lima	-0.0289	0.7212	1	10	15	2	133	25.5496	2020	66.5	12.7748
391	fernanda a. s. cassemiro	-0.6153	0.3404	3	6	6	2	34	1.3716	2010.5	17	0.6858
395	fernanda de oliveira silva	-0.5211	0.796	26	1	2	2	12	4.8547	2020.5	6	2.4273
397	fernanda miriane bruni	0.419	-0.082	5	8	14	3	31	1.486	2014	10.3333	0.4953
404	fernando mayer pelicice	-0.3314	0.4953	3	115	433	123	4142	359.176	2016.5854	33.6748	2.9201
409	filipe viegas de arruda	0.3524	-0.544	10	5	9	3	25	2.4233	2018	8.3333	0.8078
413	flávio c. t. lima	-0.219	0.2972	7	14	15	2	59	2.0258	2007	29.5	1.0129
414	flávio sérgio aferri	-0.4703	-0.5033	17	5	8	2	2	0.2071	2012	1	0.1036
415	franciano dias pereira cardoso	0.0533	-0.064	4	5	5	2	1	0.0935	2018	0.5	0.0468
417	francisco a. esteves	-0.2202	0.5761	1	22	35	3	227	22.8684	2017	75.6667	7.6228
418	francisco langeani	-0.2031	0.3269	7	17	23	2	63	2.6618	2011	31.5	1.3309
429	franklin riet-correa	2.2547	-0.0278	13	14	36	4	12	4.9551	2020.75	3	1.2388
430	frederico falcão salles	1.9404	0.1415	12	5	6	2	3	0.7008	2022	1.5	0.3504
432	fábio andrade	0.0497	-0.1542	4	6	8	2	82	4.1978	2008.5	41	2.0989
436	fábio silveira vilella	-0.2609	0.5317	1	22	28	2	106	17.3148	2020	53	8.6574
445	gecilane ferreira	-0.2351	-0.3875	9	5	15	5	0	0	2019.8	0	0
447	geovana de souza andrade	-0.5523	0.7295	29	1	2	2	2	1.5714	2022	1	0.7857
449	geslaine rafaela lemos gonçalves	-0.0204	0.7508	1	10	15	2	133	25.5496	2020	66.5	12.7748
453	gilberto barbante kerbauy	-0.3167	-0.7729	6	7	23	6	164	9.9531	2008.6667	27.3333	1.6589
454	gilmar perbiche‐neves	-0.0528	0.6904	1	14	18	2	92	19.0301	2020	46	9.5151
457	glauco vieira miranda	-0.6643	-0.7403	2	19	65	17	104	8.5972	2007.1765	6.1176	0.5057
462	gratchela dutra rodrigues	2.2457	0.0846	13	16	37	5	5	5.8199	2022.2	1	1.164
465	guilherme nobre lima do nascimento	-0.6187	-0.2259	11	5	10	2	0	0	2020	0	0
469	guilherme rocha dos santos	-0.3495	-0.212	6	8	10	4	1	0.2336	2021.75	0.25	0.0584
471	gustavo fernandes leobas	0.0247	-0.2285	9	2	4	2	4	0.2517	2016	2	0.1259
472	gustavo henrique zaia alves	-0.4381	0.7302	3	13	15	2	6	3.058	2021.5	3	1.529
476	hadassa gabriela ortiz	2.3259	0.0067	13	12	24	2	1	0.7857	2022	0.5	0.3929
478	hasley rodrigo pereira	0.3738	-0.4329	10	4	8	2	27	4.8155	2020	13.5	2.4077
480	heder braun	-0.8567	-0.7988	2	6	12	2	8	0.4199	2011	4	0.2099
485	helena iris leite de lima	2.1653	0.1299	12	4	8	4	7	0.8928	2017	1.75	0.2232
486	helena oliveira	-0.1536	-0.2321	17	3	6	3	0	0	2023	0	0
487	hendria cirqueira martins	0.3243	-0.5438	10	6	10	3	29	3.1298	2018.3333	9.6667	1.0433
490	hilton kenji takahashi	0.2755	-0.2969	5	5	10	2	8	0.7022	2009	4	0.3511
