id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
5	adriano silveira barbosa	-0.7782	-0.3766	2	7	12	2	1	1.2222	2021	0.5	0.6111
36	bibiana zanella ribeiro	0.3189	-0.1729	4	1	1	2	0	0	2020	0	0
44	celso hackenhaar	-0.5292	0.1977	3	11	25	5	0	0	2019.8	0	0
68	e. idalgo	0.8519	0.2222	1	4	10	3	14	3.1882	2015.6667	4.6667	1.0627
71	edmar viní­cius de carvalho	-0.5618	0.3807	3	6	12	2	0	0	2019	0	0
73	elzimeire coelho matos	-0.1775	0.0296	5	1	2	2	0	0	2019	0	0
74	emerson adriano guarda	0.9557	-0.2981	6	3	6	2	0	0	2022.5	0	0
78	evandro reina	-0.9234	-0.0091	2	9	14	3	0	0	2019	0	0
84	felipe a. santos	1.0992	0.2478	1	6	9	2	36	5.2683	2011	18	2.6341
90	flávio sérgio afférri	-0.8188	0.128	3	13	28	5	1	1.2222	2019.4	0.2	0.2444
95	gilmar pires novaes	0.385	-0.0098	4	3	3	2	0	0	2018.5	0	0
97	glêndara aparecida de souza martins	-0.5056	-0.1063	5	6	7	2	0	0	2017	0	0
99	guilherme benko	-0.9241	-0.3065	2	8	14	2	1	1.2222	2021	0.5	0.6111
107	j. m. g. mandarino	-0.7556	0.348	3	7	14	3	5	1.1842	2018.3333	1.6667	0.3947
108	j. m. pelúzio	-0.674	0.4622	3	6	12	2	0	0	2019	0	0
122	josé r. correa	0.3473	-0.1081	4	4	4	2	0	0	2022.5	0	0
124	joão carlos silos moraes	0.9887	0.0819	1	6	21	6	74	8.9359	2013.1667	12.3333	1.4893
125	joênes mucci pelúzio	-0.6964	-0.0435	2	12	43	12	10	4.8064	2018.75	0.8333	0.4005
130	k. yukimitu	0.9869	0.2042	1	6	21	6	74	8.9359	2013.1667	12.3333	1.4893
150	lázaro antônio dos santos	-0.9643	-0.1783	2	8	19	3	1	1.2222	2021	0.3333	0.4074
163	maria carolina de paula estevam d’oliveira	0.8492	-0.2561	6	3	7	5	1	0.6	2019.6	0.2	0.12
164	maria dilma de lima	-0.3851	0.019	5	18	61	19	10	5.8064	2018.3158	0.5263	0.3056
182	neusa maria hackenhaar	-0.6637	0.191	3	11	25	5	0	0	2019.8	0	0
189	patrícia martins guarda	0.8718	-0.3638	6	3	6	2	0	0	2022.5	0	0
217	salmo moreira sidel	0.8339	-0.0401	1	12	31	12	74	8.9359	2015.25	6.1667	0.7447
231	v. c. s. reynoso	1.1244	0.0321	1	5	8	2	57	5.3087	2010.5	28.5	2.6544
236	vanderlan carneiro dias	-0.7863	-0.1677	2	11	30	6	1	1.2222	2020.1667	0.1667	0.2037
240	w. a. capanema	1.1887	0.1426	1	5	8	2	26	3.8049	2011	13	1.9024
241	weder ferreira dos santos	-0.6577	-0.2501	2	11	25	4	1	1.2222	2021	0.25	0.3056
