id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	a. menchaca	2.192	-0.4099	3	12	24	2	1	0.7857	2022	0.5	0.3929
11	a.a. agostinho	-0.6894	-0.5152	6	12	16	4	122	4.9857	2013.5	30.5	1.2464
24	adriana malvásio	-0.0312	0.1931	1	7	10	5	1	0.4615	2020.8	0.2	0.0923
26	adriana valéria miranda delarolli	0.3559	-0.0084	13	3	6	2	0	1	2023.5	0	0.5
28	adriano guimarães carvalho	-0.2564	0.11	7	2	4	3	3	0.3811	2019.3333	1	0.127
31	adélia cristina oliveira cintra	0.4605	0.9046	5	19	25	4	33	2.1277	2015.5	8.25	0.5319
32	ageu da silva monteiro freire	-0.1852	-0.1381	11	6	8	2	0	0	2023	0	0
35	ailton josé crispim filho	0.14	0.0729	1	3	8	3	5	1.8682	2021	1.6667	0.6227
37	aivlé cabrera	0.6169	0.6942	16	5	10	2	6	0.251	2003	3	0.1255
38	akila l. oliveira	0.5213	0.8963	5	13	17	2	6	0.6282	2017.5	3	0.3141
44	alberto akama	-0.3643	0.0133	18	5	5	3	14	2.2853	2017.3333	4.6667	0.7618
45	alberto arab	0.6293	0.7315	16	12	22	4	24	1.751	2003.5	6	0.4378
46	alberto jorge laranjeiro	0.2175	-0.4912	12	2	3	2	73	2.3636	1995.5	36.5	1.1818
47	alberto josé prioli	-1.0425	-0.0254	15	15	54	9	106	10.8405	2014.2222	11.7778	1.2045
48	albério batista de oliveira	-0.1444	-0.3894	11	5	10	2	0	0	2020	0	0
50	aldo shimoya	0.5883	-0.2009	4	3	6	2	0	2	1999	0	1
52	alessandra valéria de oliveira	-1.043	-0.0808	15	14	43	8	58	5.2958	2016	7.25	0.662
65	aline lopes dos santos	-0.101	0.3247	1	5	5	2	2	0.3015	2017.5	1	0.1508
68	almir manoel cunico	-0.7049	-0.4783	6	14	17	2	7	2.8653	2020	3.5	1.4327
69	amadeu m.v.m. soares	-0.9579	0.1374	24	5	18	5	87	13.2364	2016.2	17.4	2.6473
71	amanda cordeiro da silva	0.2237	0.4732	20	6	14	3	3	0.3007	2018	1	0.1002
74	amintas nazareth rossete	-0.3374	0.0513	7	9	13	2	40	6.5018	2019.5	20	3.2509
77	ana beatriz nunes ribeiro	-0.007	0.1553	1	2	3	2	0	0	2023	0	0
80	ana carolina lima	-0.9783	0.1201	24	5	15	4	71	10.6357	2015.5	17.75	2.6589
82	ana cristina petry	-0.9601	-0.1224	15	21	55	12	198	18.4398	2017.9167	16.5	1.5366
83	ana letícia rodrigues costa	0.171	0.0286	1	11	25	9	15	3.2694	2019	1.6667	0.3633
88	ana maria cirino ruocco	-0.5731	-0.4453	2	14	18	2	92	19.6304	2020	46	9.8152
89	ana maría costa-leonardo	0.6512	0.7806	16	8	19	3	28	2.3333	2004	9.3333	0.7778
90	ana paula augusta de oliveira	0.128	0.0565	1	3	6	2	2	0.4836	2021.5	1	0.2418
93	anderson brito soares	-0.3511	0.4484	10	16	30	5	133	6.985	2012.8	26.6	1.397
96	anderson saravia	2.1385	-0.3323	3	14	41	5	13	5.1282	2020.4	2.6	1.0256
97	andrea c.d. rodas	0.3097	0.999	5	9	12	2	13	0.728	2011	6.5	0.364
99	andressa cavalcante meireles	-0.1745	-0.1192	11	6	8	2	0	0	2023	0	0
104	andré andrian padial	-0.7429	-0.34	2	29	62	5	326	33.8158	2017.2	65.2	6.7632
107	andré jasper	-0.1936	0.2066	1	4	9	3	27	4.3887	2019	9	1.4629
109	andré lincoln barroso magalhães	-0.7968	-0.3946	2	30	110	14	584	67.3735	2018.0714	41.7143	4.8124
110	andré luis santos resende	0.4306	0.0605	13	6	18	5	19	1.4627	2010.4	3.8	0.2925
111	andré luiz henríques esguícero	-0.4133	-0.2747	18	6	8	3	53	6.995	2017.6667	17.6667	2.3317
114	andré s. fernandes	1.7791	-0.3877	3	4	5	2	1	0.4615	2021.5	0.5	0.2308
118	andréa l. neuberger	-0.4465	0.0071	6	6	7	2	67	5.2828	2010	33.5	2.6414
119	andréia borges scriboni	0.5472	0.9116	5	13	17	2	6	0.6282	2017.5	3	0.3141
127	annyelle figueredo teles	0.2226	0.4429	20	7	22	5	14	1.5815	2016.4	2.8	0.3163
131	antonelli santos silva	0.1546	0.2439	17	5	10	2	0	0	2014	0	0
134	antônio daniel fernandes coelho	0.6063	-0.1932	4	3	6	2	0	2	1999	0	1
136	antônio thadeu medeiros de barros	2.0965	-0.3049	3	6	17	3	12	4.3425	2019.3333	4	1.4475
138	antônio ítalo dos santos nunes	-0.1565	0.3471	1	4	5	2	1	0.2418	2021	0.5	0.1209
140	aparecido osdimir bertolin	-0.0416	0.2625	1	9	12	11	93	8.0693	2015.6364	8.4545	0.7336
143	arion t. aranda	-0.611	0.1207	9	4	10	4	31	1.3381	2005.5	7.75	0.3345
145	arlene g. corrêa	0.6257	0.7763	16	8	19	3	28	2.3333	2004	9.3333	0.7778
150	arturo san feliciano	0.4369	0.8652	5	20	46	6	92	8.0762	2013.5	15.3333	1.346
152	athayde tonhasca	0.1285	-0.4993	12	2	12	9	164	15.821	2001.6667	18.2222	1.7579
153	augusto loureiro henriques	1.9693	-0.3393	3	10	46	29	101	19.2148	2015.6552	3.4828	0.6626
155	aurélio vaz de melo	0.7232	-0.2427	4	13	37	7	84	4.7102	2008.1429	12	0.6729
160	baldur rocha giovannini	-0.1496	0.053	11	4	8	3	0	0	2019	0	0
165	bernhard ryffel	-0.3393	0.5301	10	8	15	2	11	1.1026	2017.5	5.5	0.5513
168	brian v. brown	0.2644	-0.5676	12	5	14	4	17	1.3219	2012.5	4.25	0.3305
170	bruna s. andrade	1.9451	-0.4488	3	3	4	2	1	4.75	2023	0.5	2.375
171	bruna tavares	-0.2646	0.2208	1	4	4	2	0	0	2023	0	0
172	bruno aurélio campos aguiar	-0.1088	-0.2032	11	4	8	2	4	19	2023	2	9.5
175	brígida souza	0.4675	0.0441	13	4	8	2	2	0.1194	2014	1	0.0597
177	bárbara helena ramos	0.2099	-0.0343	1	4	10	3	3	0.5118	2015	1	0.1706
181	c. godoy	0.6721	-0.2348	4	6	11	2	62	3.1983	2002.5	31	1.5992
187	carina scolari gosch	-0.1307	-0.3582	11	5	10	2	0	0	2020	0	0
188	carine c. chamon	-0.5722	0.0892	9	14	25	21	66	8.8885	2014.0476	3.1429	0.4233
192	carla lima	-0.2782	0.4952	10	17	33	6	150	8.5884	2013.6667	25	1.4314
195	carla simone pavanelli	-0.8752	-0.0935	9	43	74	6	83	11.7622	2017.8333	13.8333	1.9604
196	carla simone seibert	-0.0629	0.4265	1	63	174	64	237	23.4301	2016.5469	3.7031	0.3661
199	carlos a. rosa	-0.0207	-0.2506	17	5	8	2	27	1.22	2007.5	13.5	0.61
201	carlos alberto santos de lucena	-0.8152	0.132	9	13	18	5	76	3.7232	2007	15.2	0.7446
202	carlos andré nogueira	0.1942	-0.5545	12	4	7	3	29	1.6266	2010.3333	9.6667	0.5422
206	carlos marcos alves dos santos	0.4183	0.0895	13	4	8	2	0	0	2007	0	0
208	carlos santos	-0.3958	-0.2053	18	6	12	2	0	0	2010	0	0
209	carlos sérgio agostinho	-0.8216	-0.06	6	57	167	44	859	64.3504	2011.5909	19.5227	1.4625
210	carmen s fontanetti	0.6428	0.6714	16	5	10	2	6	0.251	2003	3	0.1255
214	carolina rodrigues da costa doria	-0.3258	0.0947	7	12	21	4	65	10.4233	2019.25	16.25	2.6058
216	carolina souza jarochinski e silva	0.3257	0.0736	13	3	6	2	6	3.0934	2021	3	1.5467
222	cecilia miraballes	2.1247	-0.2914	3	6	17	3	12	4.3425	2019.3333	4	1.4475
224	celso kenji nishiyama	-0.4	-0.1741	18	6	12	2	0	0	2010	0	0
225	charles albert guerra	0.1698	0.2255	17	5	10	2	0	0	2014	0	0
226	charles martins de oliveira	0.6202	-0.4474	22	4	8	2	1	0.0418	2002.5	0.5	0.0209
227	christian r. gonzález	1.9782	-0.2963	3	2	6	3	4	1.0491	2019.3333	1.3333	0.3497
230	christopher martius	0.1977	-0.6841	12	3	6	2	32	1.5109	2010	16	0.7554
231	cháriston andré dal belo	0.343	0.9761	5	21	51	7	62	4.8103	2012	8.8571	0.6872
239	cleide mecenas araújo	0.0535	0.3449	7	5	10	2	0	0	2013	0	0
243	cleto kaveski peres	-0.0019	0.6048	10	5	10	2	8	0.6322	2009	4	0.3161
248	clélia akiko hiruma-lima	-0.1311	0.3719	1	13	18	4	181	8.7564	2007.25	45.25	2.1891
250	cosme damião cruz	0.5935	-0.3195	4	6	16	5	36	2.4775	2009.4	7.2	0.4955
254	cristiano r. moreira	-0.7755	0.0431	9	17	23	2	63	3.1188	2011	31.5	1.5594
255	cássia regina primila cardoso	0.3587	1.0132	5	11	17	2	22	1.8503	2011.5	11	0.9251
256	cássio augusto ussi monti	0.2905	0.0365	13	2	6	3	6	3.7418	2021.3333	2	1.2473
