id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	abraham d. giraldo-zúñiga	-0.1798	0.0812	5	10	17	7	53	9.2203	2007.4286	7.5714	1.3172
5	abraham damian giraldo zuñiga	-0.312	0.5874	11	63	155	63	600	32.8626	2014.6984	9.5238	0.5216
13	adriana régia marques de souza	0.25	-0.3665	1	29	57	8	10	8.7389	2019.875	1.25	1.0924
15	adriano silveira barbosa	-0.9494	0.2141	17	10	17	2	0	1	2022.5	0	0.5
21	agnès lesur	0.8745	0.6417	21	5	10	2	0	0	2017.5	0	0
24	alanna cristinne martins lima	0.6949	0.1946	3	7	12	2	1	1.0159	2021	0.5	0.5079
27	alessandra maria de lima naoe	0.0251	-0.5264	14	7	7	2	0	0	2017	0	0
29	alex fernando de almeida	0.5751	0.2508	3	49	125	24	71	47.5671	2021	2.9583	1.982
31	alfredo eduardo maiorano	1.1927	0.3517	12	16	63	11	53	27.9151	2021.0909	4.8182	2.5377
37	aline torquato tavares	-0.8479	-0.3144	4	14	30	9	5	1.0556	2018.4444	0.5556	0.1173
43	amanda campos feitosa	-0.158	0.4036	5	9	24	7	16	1.8852	2016	2.2857	0.2693
44	amanda galvão maciel	-0.535	0.3983	15	6	17	4	4	2.069	2017	1	0.5172
45	amanda mellissa bezerra oliveira	0.0034	0.7448	7	3	5	2	0	0	2019	0	0
47	amílcar sabino damazo	-0.6464	0.144	6	7	14	2	47	15.0082	2018	23.5	7.5041
48	ana carolina oliveira da silva	-0.3466	-0.6174	16	7	18	3	13	10.4207	2017.6667	4.3333	3.4736
51	ana clara alves braga rodrigues	0.741	0.024	3	5	9	2	0	0	2021	0	0
54	ana flávia santos coelho	-0.1193	-0.1509	18	9	9	3	58	7.9267	2012.3333	19.3333	2.6422
56	ana letícia silva coelho	-0.2114	-0.5143	10	2	6	3	0	0	2020.3333	0	0
66	anderson ferreira da cunha	-0.3006	-0.6616	16	6	14	3	6	6.8	2018	2	2.2667
71	andré leonardo dos santos	0.3777	-0.3565	1	14	49	9	8	7.5185	2020.5556	0.8889	0.8354
73	andréia ibiapina	0.1661	-0.3109	1	28	58	11	12	12.3079	2019.4545	1.0909	1.1189
77	annanda carvalho dos santos	0.6666	0.0755	3	10	10	2	15	15.2381	2021	7.5	7.619
79	antonina m. s. pontes	0.2723	0.1986	2	6	12	2	19	11.2593	2020	9.5	5.6296
80	antonio dheyson da silva oliveira	0.5629	-0.0074	3	4	8	2	0	0	2021	0	0
83	antonio marsaioli	-0.2023	-0.0751	18	1	2	2	1	0.6667	2011	0.5	0.3333
85	antônio alves de melo filho	0.1377	-0.3607	1	10	11	2	1	1.5185	2020.5	0.5	0.7593
