id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	a. silva	-0.9837	-0.3362	3	3	3	1	0	0	2023	0	0
3	adaires rodrigues de souza	-1.3102	-0.1384	5	11	11	1	0	0	2021	0	0
4	adaíres rodrigues de sousa	-1.1197	-0.0972	12	2	2	1	0	0	2021	0	0
5	adriana delbó lopes	-0.1166	0.7175	9	9	9	1	0	0	2023	0	0
6	adriana dos reis martins	-0.266	-0.0593	7	5	7	3	0	0	2021	0	0
7	adriano luiz maropo	0.6462	-0.1659	14	15	16	2	0	0	2021	0	0
8	ailla ligia santos quirino	0.7334	-0.2438	14	5	5	1	0	0	2020	0	0
9	alberto siclari	0.0678	0.5039	15	5	5	1	0	0	2022	0	0
12	amanda maurício pereira leite	-0.4492	-0.2963	10	4	4	1	0	0	2018	0	0
17	ana cléia gomes da silva	-1.1699	-0.0341	5	2	2	1	0	0	2021	0	0
20	ana santos	0.5345	-0.1288	2	11	11	1	0	0	2022	0	0
23	arthur henrique de alencar quirino	0.7144	-0.2119	14	5	5	1	0	0	2020	0	0
24	arthur prudente junqueira	-0.1103	-0.0746	7	2	2	1	0	0	2022	0	0
26	beatriz marocco	-0.4317	-0.3427	10	4	4	1	0	0	2018	0	0
29	bruno garcia pires	0.5121	-0.0693	2	11	11	1	0	0	2022	0	0
31	camila ribeiro castro soares	-0.1304	-0.3986	6	1	1	1	0	0	2019	0	0
32	carlo ratti	-0.1138	-0.2546	6	4	4	1	0	0	2020	0	0
33	carlos alexandre cunha	-1.0397	-0.0534	3	1	1	1	0	0	2021	0	0
36	carlos mendes rosa	0.6471	0.3465	1	1	1	1	0	0	2020	0	0
37	carlos roberto jamil cury	-1.1429	-0.1594	12	3	3	1	1	21	2021	1	21
38	carolina machado rocha busch pereira	0.155	-0.0499	7	2	2	1	0	0	2022	0	0
40	castor mari martin bartolomé ruiz	-0.1289	0.6375	9	9	9	1	0	0	2023	0	0
42	cleidiana santana parente	-1.2902	-0.0574	5	11	11	1	0	0	2021	0	0
43	cleivane peres dos reis	-1.2756	-0.1053	5	11	11	1	0	0	2021	0	0
44	cláudia rezende monteiro	1.0829	-0.3697	11	6	11	4	0	0	2020	0	0
48	célem guimarães guerra júnior	0.7246	0.3389	1	2	2	1	0	0	2022	0	0
50	daniel barbosa dos santos	-0.9399	-0.1049	3	1	1	1	0	0	2022	0	0
53	deise mancebo	-0.8966	-0.1565	3	1	1	1	2	7.1429	2019	2	7.1429
56	deusiel dias da silva	1.1142	-0.4089	11	5	5	1	0	0	2020	0	0
57	divino ribeiro viana	0.3624	0.1815	2	4	4	1	0	0	2023	0	0
58	doracy dias aguiar de carvalho	-1.0023	-0.2649	3	8	17	9	4	35.7714	2021.7778	0.4444	3.9746
59	eduardo dantas	1.2514	-0.2546	16	4	4	1	1	29	2023	1	29
60	eduardo j. simões	-0.2703	-0.1679	6	5	5	1	0	0	2021	0	0
61	eduardo jardim	-0.1099	0.4421	8	2	2	1	0	0	2021	0	0
63	eduardo vicentini de medeiros	-0.2063	0.6602	9	9	9	1	0	0	2023	0	0
64	elaine aires nunes	-1.2651	-0.0083	5	12	13	2	1	6.6	2020.5	0.5	3.3
65	elisangela oliveira da silva	1.0714	-0.32	11	2	4	2	0	0	2020	0	0
67	elizângela inocêncio mattos	-0.0829	-0.2677	6	4	4	9	0	1	2018.2222	0	0.1111
68	erika gomes peixoto	-0.1503	0.298	8	1	1	1	0	0	2019	0	0
69	ester maria dreher heuser	-0.137	0.6829	9	9	9	1	0	0	2023	0	0
70	evandro pontel	0.6611	0.4372	1	4	6	2	0	0	2020	0	0
71	evanildo costeski	0.0242	0.3013	8	2	3	2	0	0	2020.5	0	0
72	eveline algebaile	-1.0281	-0.2127	3	2	2	1	0	1	2024	0	1
73	fabiano gonçalves marques	0.9099	-0.2193	4	1	1	1	0	0	2018	0	0
74	fabio jose barbosa correia	0.659	0.2739	1	1	1	1	0	0	2020	0	0
75	fabrício silva brito	1.1349	-0.124	4	2	4	2	0	0	2021	0	0
80	fernando lourenço barros	0.7437	-0.1871	14	5	5	1	0	0	2020	0	0
83	francisca galiléia pereira da silva	-0.0996	0.671	9	9	9	1	0	0	2023	0	0
85	francisco gilson rebouças pôrto	-0.4205	-0.312	10	4	4	1	0	0	2018	0	0
86	frederico batista	-0.3768	-0.2358	10	1	1	1	0	0	2023	0	0
87	fábio caires correia	0.6075	0.2461	1	1	7	7	0	1	2020.5714	0	0.1429
89	f�bio correia	0.5572	0.2776	1	1	1	1	0	1	2024	0	1
90	gabriel kafure da rocha	0.3602	0.1457	2	4	4	1	0	0	2023	0	0
91	georgia cristina armitrano	-0.1592	0.7261	9	9	9	1	0	0	2023	0	0
93	giovana miranda kurovski miranda kurovski	1.0661	-0.4136	11	5	7	2	0	0	2020	0	0
94	giuseppe turchi	0.1174	0.4796	15	5	5	1	0	0	2022	0	0
96	greice quele mesquita almeida	-1.0152	0.0648	17	2	2	1	0	0	2023	0	0
98	gustavo henrique lima ferreira	0.5521	-0.094	2	11	11	1	0	0	2022	0	0
99	gustavo paschoal teixeira de castro oliveira	0.9257	-0.3474	18	2	2	1	0	0	2021	0	0
101	hélvia túlia sandes pedreira	0.9217	-0.1425	4	1	1	1	0	0	2021	0	0
103	idemar vizolli	-1.2131	0.0332	5	2	2	1	1	6.6	2020	1	6.6
104	isis freitas	0.6728	0.4734	1	4	4	1	0	0	2020	0	0
105	izaías pereira da costa	1.2347	-0.2257	16	4	4	1	1	29	2023	1	29
106	jair tauchen	0.6263	0.4479	1	4	6	2	0	0	2020	0	0
