id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	acioly l.t. lacerda	-0.8674	0.2266	9	20	42	5	144	11.9254	2013	28.8	2.3851
12	acioly luiz tavares de lacerda	-1.0884	0.2615	9	8	18	3	183	9.0036	2010	61	3.0012
18	adriana almeida antunes	-0.5161	-0.7878	13	8	24	3	13	5.4167	2018.6667	4.3333	1.8056
19	adriana freitas neves	0.4304	-0.0819	2	6	20	4	14	3.5536	2003.75	3.5	0.8884
21	adriana luchs	1.7549	0.2852	4	28	285	21	175	84.3294	2019.5238	8.3333	4.0157
22	adriana malvásio	0.1618	-0.4206	15	4	4	3	2	0.1049	2013.6667	0.6667	0.035
44	alexandra m. cardoso	0.4813	-0.1153	2	6	16	3	6	1.2679	2004	2	0.4226
49	alexandre de barros falcão ferraz	-0.3093	0.2185	1	2	6	3	0	0	2013	0	0
52	alexandre luiz de oliveira serpa	-0.7374	0.7033	5	12	28	3	5	10.2564	2021.6667	1.6667	3.4188
54	alexandre paim diaz	-0.8306	0.5963	5	24	51	6	69	45.0685	2020.6667	11.5	7.5114
55	alexandre paim díaz	-1.002	0.5495	12	18	80	6	0	0	2021	0	0
56	alexandre rizkalla	-1.0929	0.5878	12	17	77	5	0	0	2021	0	0
61	alexsandra laurindo leite	-0.103	-0.3498	3	3	5	3	19	12.888	2019	6.3333	4.296
67	aline almeida barbaresco d’alessandro	-0.714	-0.0621	6	5	14	3	0	3	2024	0	1
68	aline almeida liberato	0.012	-0.3592	16	9	39	5	20	8.3333	2017	4	1.6667
70	aline barbosa lopes	-0.0457	-0.419	16	14	41	6	22	10.759	2018	3.6667	1.7932
74	aline ferri schoedl	-0.9395	0.2633	9	15	29	3	110	9.4024	2012.3333	36.6667	3.1341
84	allan eduardo pereira rodrigues	-0.1856	0.068	1	5	13	4	0	0	2020.25	0	0
85	allethéa robertha souza e silva	0.0273	0.3702	10	14	73	9	0	0	2019.7778	0	0
92	amanda amâncio oliveira	0.0535	-0.3975	16	9	36	4	20	8.3333	2017	5	2.0833
