id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
8	abraham damian giraldo zuñiga	0.5311	-0.4598	6	3	6	4	0	0	2020.25	0	0
13	adailton tomaz da silva	0.66	0.2341	5	2	3	2	0	0	2022	0	0
15	adiléia fernandes barros da silva santos	-0.0683	-0.3232	19	9	14	4	1	0.7245	2019.5	0.25	0.1811
17	adriana arruda barbosa rezende	-0.7306	1.016	16	7	14	2	0	0	2023	0	0
19	adriana gomes nogueira ferreira	0.7008	0.4708	5	5	10	2	3	2.4894	2019	1.5	1.2447
20	adriana idalina torcato de oliveira	0.2244	-0.1548	2	5	9	2	25	14.4694	2016.5	12.5	7.2347
22	adriana régia marques de souza	0.2197	-0.6309	8	6	8	2	5	3.1707	2021	2.5	1.5854
23	adriano nascimento da paixão	-0.7397	1.0573	16	7	14	2	0	0	2023	0	0
24	adryano augustto valladão de carvalho	0.3508	0.0713	26	3	5	2	7	2.6667	2009	3.5	1.3333
31	albério batista de oliveira	1.0718	0.1658	22	5	10	2	0	0	2020	0	0
34	alessandra da silva	0.2734	0.8516	12	5	12	4	8	27.3514	2021.75	2	6.8379
40	aline cristine souza lopes	-0.3879	-0.1876	20	2	4	2	16	4.7419	2013	8	2.371
46	alinne aurélio carneiro	-0.5756	-0.0767	20	5	10	2	0	0	2017	0	0
55	ana júlia rosa barcelos costa	0.4167	0.8956	12	2	5	3	19	13.1081	2020.3333	6.3333	4.3694
56	ana karina furtado mendes	-0.3389	0.384	3	3	3	2	0	0	2017.5	0	0
57	ana kleiber pessoa borges	0.062	0.2021	1	5	7	2	1	0.6341	2020.5	0.5	0.3171
60	ana paula mendes diniz	1.2015	-0.3711	17	8	26	4	2	0.4266	2013.75	0.5	0.1067
62	ana terra de araújo rodrigues	0.8523	0.4124	5	4	8	2	0	0	2020	0	0
68	andreia leite	0.4056	1.0332	12	4	11	3	6	4.9787	2018	2	1.6596
69	andressa diúlia dantas da silva	0.1311	0.2374	1	6	7	2	4	2.8076	2020.5	2	1.4038
70	andressa sousa pereira	0.1249	-0.5627	8	16	31	7	7	4.8004	2020	1	0.6858
73	andréia queiróz ribeiro	-0.4799	0.2272	7	6	36	8	9	6.5204	2020.375	1.125	0.8151
76	angelina do carmo lessa	-0.2836	0.8828	13	6	15	3	9	4.2245	2015	3	1.4082
77	angélica pedrico	0.9467	-0.1797	9	2	3	2	3	1.1429	2009	1.5	0.5714
78	anielli souza pereira	0.0418	-0.8119	8	6	7	2	4	1.1351	2018	2	0.5676
80	anna flavia ferreira passos	0.0276	0.2989	25	3	5	2	10	8.2285	2021.5	5	4.1142
84	antonio hélio vieira	-0.2612	-0.0419	2	4	7	2	0	2	2024	0	1
85	antonio willamys fernandes da silva	0.7402	0.0894	21	9	18	2	0	0	2023	0	0
89	antônio clementino dos santos	1.0413	-0.1282	9	6	21	6	11	3.9487	2010	1.8333	0.6581
91	araída dias pereira	-0.2125	0.015	2	12	18	14	19	13.1909	2019.2143	1.3571	0.9422
93	aridouglas dos santos araújo	1.0541	-0.194	9	5	10	2	2	0.7179	2010	1	0.359
