id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	a. a. carvalho	-0.6061	0.3643	3	7	7	1	0	0	2018	0	0
2	a. c. barbosa	-0.5689	0.4651	3	7	7	1	0	0	2018	0	0
5	alessandra bauab azar	-0.8537	0.0074	4	7	7	1	0	0	2018	0	0
9	alyne de souza jardim	1.6987	0.0707	10	2	2	1	0	1	2019	0	1
10	amanda diniz gonçalves	1.4736	0.0703	1	1	3	3	2	14	2016.3333	0.6667	4.6667
12	amanda gonçalves	1.5301	0.1254	1	1	1	1	0	0	2020	0	0
14	ana carolina fialho de abreu	1.4841	-0.0381	1	1	1	1	0	1	2022	0	1
16	ana laura colombo de freitas	-0.6314	-0.2499	8	3	3	1	0	0	2017	0	0
21	andré e. lazzaretti	-0.5477	0.3441	3	7	7	1	0	0	2018	0	0
24	bianca nascimento de melo	-0.4438	0.019	5	1	1	1	0	0	2021	0	0
27	caio barros	-0.1259	-0.116	2	2	2	1	0	1	2015	0	1
30	d. silva	-0.2822	-0.213	2	2	2	1	0	1	2002	0	1
32	dario rodrigues silva	-0.0869	0.2965	6	4	8	2	0	1	2019.5	0	0.5
34	e. krueger	-0.4994	0.3841	3	7	7	1	0	0	2018	0	0
35	edilberto batista	-0.891	-0.0424	4	7	7	1	0	0	2018	0	0
37	ernande f. melo	-0.5421	0.028	5	1	1	1	0	0	2020	0	0
39	geferson gomes	-0.5982	-0.2845	8	3	3	1	0	0	2017	0	0
40	gina arantxa arbeláez hernández	-0.15	0.3064	6	4	8	2	0	1	2019.5	0	0.5
42	heitor martins oliveira	-0.3859	-0.054	5	42	57	35	2	30.3333	2015.2	0.0571	0.8667
43	irma cristina galhardo	1.681	0.1028	10	2	2	1	0	1	2019	0	1
45	josé bortolaz neto	-0.915	0.0149	4	7	7	1	0	0	2018	0	0
47	joão paulo miranda	-0.4302	-0.1562	5	1	1	1	0	1	2015	0	1
48	juliano casimiro de camargo sampaio	1.5446	0.0058	1	12	21	30	12	60.6667	2017.9333	0.4	2.0222
55	l. c. rêgo	-0.1692	-0.3121	2	3	3	1	0	1	2015	0	1
56	l. p. s. viana	-0.3945	-0.3949	9	3	3	1	0	1	2016	0	1
57	l. r. soares	-0.2169	0.0147	7	5	7	3	1	3	2002.6667	0.3333	1
58	leonardo luigi perotto	-0.5174	-0.0882	5	1	1	1	1	5.3333	2020	1	5.3333
62	liubliana silva moreira siqueira	1.6315	-0.0097	1	1	1	1	0	0	2021	0	0
63	luiz sperotto teixeira	-0.6439	-0.2961	8	3	3	1	0	0	2017	0	0
65	lívia mathias simão	1.6129	-0.0803	1	1	3	3	1	5	2013	0.3333	1.6667
67	m. a. carvalho	-0.056	-0.189	2	3	3	1	0	1	2015	0	1
69	m. m. s. lira	-0.0767	-0.2303	2	3	3	1	0	1	2015	0	1
70	marcelo de jesus de oliveira	1.5297	-0.1111	1	2	5	4	0	2	2021.5	0	0.5
75	marina augusta kamei melo	1.4246	0.0084	1	1	1	1	2	10.6667	2020	2	10.6667
76	marina fazzio simão	1.5834	0.0682	1	1	3	3	2	5.3333	2018	0.6667	1.7778
82	n. f. maria	-0.5099	0.4449	3	7	7	1	0	0	2018	0	0
84	olívia aparecida silva	1.4967	-0.1461	1	2	2	1	0	0	2021	0	0
86	p. broniera	-0.6167	0.4253	3	7	7	1	0	0	2018	0	0
90	r. a. ramalho	-0.4417	-0.3917	9	3	3	1	0	1	2016	0	1
92	r. c. de oliveira	-0.4147	-0.3401	9	3	5	3	0	1	2016.6667	0	0.3333
93	r. de sobral cintra	-0.2732	0.0445	7	2	2	1	0	0	2003	0	0
94	r. j. cintra	-0.2099	-0.2776	2	3	5	2	0	2	2015	0	1
95	r. j. de s. cintra	-0.1907	-0.0509	7	3	3	1	1	2	2003	1	2
97	regina célia de oliveira	-0.2592	-0.1325	2	2	2	1	0	1	2015	0	1
98	renan colombo simões	-0.0928	0.2339	6	4	8	2	0	1	2019.5	0	0.5
101	ricardo m. campello de souza	-0.1816	-0.1799	2	10	17	7	1	8	2011.4286	0.1429	1.1429
105	robson antonio pires	-0.8302	-0.0497	4	7	7	1	0	0	2018	0	0
106	rodrigo fagundes gomes	-0.3978	0.1069	5	1	1	1	0	1	2023	0	1
111	sabrina souza gomes	-0.1565	0.2445	6	4	8	2	0	1	2019.5	0	0.5
113	selma terezinha milagre	-0.9284	-0.0927	4	7	7	1	0	0	2018	0	0
115	t. h. falk	-0.1773	0.0615	7	2	2	1	0	1	2002	0	1
120	vélez morales	-0.9521	-0.0349	4	7	7	1	0	0	2018	0	0
122	willian ricardo bispo murbak nunes	-0.5583	0.4047	3	7	7	1	0	0	2018	0	0
124	y. s. cassiolato	-0.867	-0.1002	4	7	7	1	0	0	2018	0	0
